CO,O3,SO2,HCHO,NO2,CO_N,NO2_N,SO2_N,O3_N,AQI,Category,Hotspot
0.0278009573516809,0.1524667598146791,0.00037016765149206735,0.00010492234664432334,8.023500037745611e-06,0.48605948912336283,0.03480132968970913,0.17397310772979455,0.947618369609631,202.0,Poor,Normal
0.0461356851753513,0.1096439409592639,0.00015908441342687497,0.0001657730961783602,1.4594158489589231e-05,0.8066156601377512,0.06330106795671774,0.07476722961524906,0.6814640299018738,203.0,Poor,Normal
0.0407571769374484,0.122371727502721,0.0003690002744809702,7.866972471624023e-05,2.75080987378912e-05,0.712580230591552,0.11931431530015972,0.17342445847399313,0.7605703501759471,219.0,Poor,Normal
0.0383773430925149,0.1079872337163675,-2.729911881409114e-05,0.00012151806077711842,1.2863546479008838e-05,0.6709722813315986,0.05579466814842398,-0.012830166329307457,0.6711671873747408,175.0,Moderate,Normal
0.0139331558206878,0.1488305211565412,-0.0003326928950877236,3.422964079647944e-05,-1.373750639950413e-07,0.24360105712943197,-0.0005958540376077083,-0.15636054810498246,0.9250182530142207,130.0,Moderate,Normal
0.0377806843518029,0.1089926639084455,3.0593526968774745e-05,5.116776691189588e-05,8.635085173701038e-06,0.6605405670915877,0.0374540343509645,0.014378487535902588,0.6774161830281628,174.0,Moderate,Normal
0.0461479426326508,0.1154361386182403,0.0006092996128084055,0.00013468591692248385,2.785500194769356e-05,0.8068299640323107,0.12081898195660089,0.2863614547396788,0.717463961353998,237.0,Poor,Normal
0.040422287287255,0.1094590927944089,9.310847898553266e-05,6.404976205613103e-05,9.660081415198407e-06,0.70672516991049,0.04189987867865834,0.04375955429874865,0.6803151531446177,184.0,Moderate,Normal
0.0329954853610331,0.1440844349008795,0.0010312777522759,0.0001877894791215288,9.410275137382276e-06,0.5768782907395622,0.04081636268290334,0.48468469563143435,0.8955201609377351,239.0,Poor,Normal
0.0387176665708927,0.146780018427261,0.001041496017098,0.00021868176459730008,2.7109191584437047e-05,0.676922344631379,0.11758408543817521,0.48948712307084247,0.9122738747932734,265.0,Poor,Normal
0.0413025500318784,0.1108301046516823,5.102724928569027e-05,0.0001674680932243117,2.067379372239229e-05,0.7221152895575788,0.0896710298355238,0.023982023014036163,0.688836328661721,192.0,Moderate,Normal
0.019765115234894,0.1577793808984661,-0.00010570052269088288,8.017332488915389e-05,1.696135628617895e-06,0.3455644239875831,0.007356861087094684,-0.04967762133474982,0.9806376148266942,162.0,Moderate,Normal
0.0409473157161081,0.1244496878050255,0.00026129902534941353,0.0001039289391434415,3.3435907418656546e-05,0.715904531853871,0.14502574089576528,0.1228065264578583,0.7734853839588959,220.0,Poor,Normal
0.0386692658067066,0.1110160650755333,4.508270017895769e-05,6.831900575418217e-05,9.523580410552607e-06,0.6760761273441153,0.04130781580792771,0.021188176285447006,0.689992118381892,179.0,Moderate,Normal
0.0375531418980347,0.1086768316598516,-1.1042647036423355e-05,9.54307236607012e-05,8.033953672069023e-06,0.6565623167229628,0.0348466715446145,-0.005189874411624395,0.6754532080108772,171.0,Moderate,Normal
0.0408187995190576,0.1104083288885861,2.5287945398627232e-05,0.00018516859207074151,1.3706880529089074e-05,0.7136576122139375,0.05945256634463889,0.011884945730312735,0.6862148886740679,185.0,Moderate,Normal
0.0388522472722195,0.1099285423175715,6.018487226300241e-06,5.8015069884086656e-05,9.991219967186962e-06,0.6792752933484064,0.04333616731410583,0.0028285965085578595,0.6832328972633626,177.0,Moderate,Normal
0.0372708584580814,0.1157283223547047,-1.1351409610200693e-05,0.00020841325186207605,1.1424387501531374e-05,0.6516269994647825,0.04955242401363485,-0.005334988076457542,0.7192799550585366,178.0,Moderate,Normal
0.0411028897802305,0.1109791091175525,0.00012295686210902953,9.476429093798622e-05,1.0321481843858716e-05,0.7186245191252305,0.04476865343611315,0.057787835678207826,0.6897624280238644,189.0,Moderate,Normal
0.0447184660489706,0.1152729701791656,0.00042486003914578,0.00020247943712477383,3.556832828884421e-05,0.781837635560018,0.15427495649886866,0.19967768945357856,0.716449829418646,230.0,Poor,Normal
0.0408605288754673,0.1234406736017979,0.0002668660082629276,0.00013158945585368763,1.307791310988224e-05,0.7143871895950821,0.0567244673333684,0.1254229228778017,0.7672141127956752,206.0,Poor,Normal
0.0475433859542895,0.1197805656120337,0.00030236758458480374,0.0001818354294901182,3.619717475130263e-05,0.8312272701910969,0.15700253086931407,0.14210811818627303,0.7444656424400954,235.0,Poor,Normal
0.043103080104006,0.1121854570720794,8.43098465335742e-05,0.0002573629027689373,1.54115626583993e-05,0.7535949510648713,0.06684649723754,0.03962433225741304,0.6972601769314964,195.0,Moderate,Hotspot
